# Every library live on Libby. Tab separated: key, name, region, kind, places.
# Written by tools/seed_libraries.py, loaded into the database at startup.
alliance	Alliance Digital Media Library	IL, USA	public	alpha park astoria atkinson atlanta ayer barry beardstown houston blandinsville hire bradford brimfield brown versailles bushnell cambridge camp point carlock carthage chatsworth chenoa chillicothe clayton clover colchester creve coeur danvers deer creek dominy dunlap edwards river paso eureka farmer farmington filger flanagan fondulac forman valley forrest four star galesburg galva greater bowen golden littleton plymouth gridley peine havana henderson henry heyworth hudson illinois prairie benson germantown hills roanoke spring bay washburn jacksonville kewanee knoxville harpe carnegie lacon lewistown lexington lillie evans mackinaw macomb maquon gilson marquette heights martin morrison mary wiley morton hope funks grove townships nauvoo neponset normal pike odell parlin ingersoll pekin peoria lakeview lincoln mcclure pittsfield pontiac skies pleasant plains quincy rushville salem spoon toulon towanda tremont vermont viola virginia warren alexis kirkwood monmouth roseville warsaw washington sunnyland williamsfield winchester wyoming
altamonte	City of Altamonte Springs Library		public
altecind	Altec		company
alvincollege	Alvin Community College	USA	college
amarillotx	Amarillo Public Library		public	northwest southwest
amda	American Musical and Dramatic Academy	USA	college	amda los angeles new york
americanfidelity	American Fidelity Assurance Company		company	elibrary
americanlibraryinparis	American Library in Paris		company
amfabsteel	amfabsteel		company	amfab steel
amherstcollege	Amherst College	USA	college
amspaces	American Spaces		company	office abroad
anahuacmx	Investigaciones y Estudios Superiores, S.C.	Mexico	college
analog	Analog Devices, Inc.		company
anan	Anan City Library	Japan	public
andersonlibrary	Anderson County Library		public
aneurinuk	Aneurin Leisure Trust	United Kingdom	public	abertillery blaenau gwent blaina brynmawr cwm ebbw vale tredegar
angelinacollege	Angelina College	USA	college
angleseyuk	Isle of Anglesey County Council - Llangefni Library		public
angusalive	ANGUSalive	United Kingdom	public	arbroath brechin carnoustie forfar kirriemuir monifieth montrose
anrdl	Appalachian and Northwestern Regional Libraries		public	alleghany ashe boonville charles stone danbury dobson bend elkin jonesville king lowgap airy traphill walnut cove watauga western wilkes yadkin
ansanlib	Ansan City Library		public
anythinklibraries	Rangeview Library District		public	anythink bennett brighton commerce huron street motion perl mack thornton wright farms
anytime	Washington Anytime Library	WA, USA	public	anacortes bellingham barkley bellis fair fairhaven burlington camas carpenter castle rock cathlamet skagit columbia rural davenport denny ashby adams washtucna ellensburg gilmour guemes island harrington hesseltine jefferson kalama kelso conner liberty lake longview lopez vernon neill olympic clallam bay forks port angeles sequim ocean shores odessa orcas townsend puyallup reardan richland roslyn san juan shaw sprague upper walla burbank place prescott touchet vista hermosa weller whatcom blaine deming everson ferndale lummi lynden fork point roberts sumas whitman albion colfax colton endicott farmington garfield lacrosse malden oakesdale palouse rosalia john tekoa uniontown
apex	APEX Group		company
apigroup	APi Group, Inc.		company
apl	Anseong-si Public Library	South Korea	public
appliedmedical	Applied Medical		company
appstate	Appalachian State University	USA	college
arakawa	Arakawa City Library (荒川区電子図書館サービス)	Japan	public
arapahoe	Arapahoe Libraries		public	detention facility castlewood davies kelver koelbel may sheridan smoky hill southglenn
arcwerx	ARCWERX	USA	company
arizonaedu	University of Arizona	USA	college
arktech	Arkansas Tech University	USA	college	pendergraft technology
arlington	Arlington Public Library	USA	public
arlingtontx	Arlington Public Library	USA	public	george hawkes downtown kennedale lake mansfield northeast southeast southwest woodland
armyandnavy	Army and Navy Club		company
arrowhead	Arrowhead Library System	MN, USA	public	aurora babbitt baudette bovey buhl calumet carlton chisholm cloquet coleraine cook duluth ely eveleth gilbert grand marais rapids hibbing hoyt lakes international falls keewatin kinney marble mckinley moose lake iron silver bay two harbors virginia
artcenter	ArtCenter College of Design		college
arts	University of the Arts London	United Kingdom	college	for
artslinknb	ArtsLink NB		company
asaap	Area Substance Alcohol Abuse Prevention Coalition		company	asaap
asahisoftdrinks-union-library	Asahi Soft Drinks Labor Union		company
asfmrc	Archdiocese of Santa Fe		company
ash	ASH		company
asiclibrary	Australian Securities and Investments Commission	Australia	company	asic
astrazenecagitc	AstraZeneca GITC		company
asub	Arkansas State University - Beebe	USA	college
asumidsouth	Arkansas State University Mid-South	USA	college
asutrlibrary	Arkansas State University Three Rivers	USA	college
athensstate	Athens State University		college
athleticbrewing	Athletic Brewing		company	company
atlanlibrary	Atlan Library		company	technologies pvt ltd
atlantahumane	Atlanta Humane Society		company
atwaterlibrary	Atwater Library and Computer Centre	Canada	company
aubora	Aubora OverDrive	Switzerland	public	bibliothek brutten riehen ggg stadtbibliothek basel kantonsbibliothek baselland pbz pestalozzi zurich aarau zofingen winterthurer bibliotheken
auckland	Auckland Libraries	New Zealand	public	albany avondale birkenhead blockhouse bay botany devonport coast bays epsom glen eden innes glenfield great barrier grey lynn helensville highland park howick kumeu leys institute little mahurangi mangere bridge manukau research paerangi manurewa albert roskill new war northcote onehunga orewa otahuhu otara pakuranga panmure papatoetoe parnell chevalier pukekohe ranui remuera sir edmund hillary papakura heliers takaanini hub takapuna atatu peninsula manawa westgate titirangi tupu youth waiheke waimahia clendon waitakere waiuku warkworth wellsford whangaparaoa
aucklandcatholic	Catholic Diocese of Auckland		company
auditorcanada	Office of the Auditor General of Canada		company
augsburg	Stadtbücherei Augsburg		public
aup	The American University of Paris	USA	college
aurauk	Flintshire Libraries		public
aurora	Aurora Public Library		public	hoffman martin luther king mission viejo tallyns reach
aurorapl	Aurora Public Library	Canada	public
aurorapubliclibrary	Aurora Public Library District		public	eola road
austinlibrary	Austin Public Library	USA	public	history carver cepeda hampton oak hill howson john gillum little walnut creek menchaca road milwood old quarry pleasant ruiz southeast spicewood springs terrazas twin oaks hills willie mae kirk windsor park yarborough
autacnz	Auckland University of Technology		college
avalonfreelibrary	Avalon Free Public Library		public
avondalelibrary	Avondale Public Library	USA	public
awa	AWA - a Christchurch and Selwyn shared collection	New Zealand	public	akaroa aranui diamond harbour fendalton hornby linwood eastgate little river lyttelton matuku takotako sumner new brighton orauwhata bishopdale papanui parklands redwood darfield leeston lincoln ara atea shirley spreydon hapua halswell turanga upper riccarton
awa-library	Alpsalpine Workers Association		company
awabank	Awa Bank Union		company
awenculturaluk	Awen Cultural Trust		public	aberkenfig bridgend betws garw maesteg ogmore vale pencoed porthcawl pyle sarn llynfi
ayabe-library	Ayabe City Library		public
ayahealth	Aya Healthcare		company
ayase	Ayase Municipal Library	Japan	public
azlibrary	Arizona State Library, Archives And Public Records	USA	public	avondale nogales rochlin pinal safford graham
azwestern-library	Arizona Western College	USA	college
babsonedu	Babson College		college
bader	Bader College		college
badico	Bayern Digital Consortium	Germany	public	burglengenfeld charlotte dessecker bucherei pullach dingolfing eggenfelden europabuecherei passau freyung gemeindebibliothek kummersbruck gemeindebucherei gerbrunn mintraching muhlhausen planegg kelheim lappersdorf marktbucherei mainburg stadtbibliothek maxhutte haidhof stadtbucherei mitterteich neustadt donau nittendorf marktbibliothek oberhaching gemeinde und schulbibliothek schwandorf cham naila neumarkt oberviechtach regensburg sulzbach rosenberg teublitz unterschlei heim
baileylibrary	Bailey Public Library		public
balibrary	Barrington Area Library		public
bangorpl	Bangor Public Library		public
bangoruniv	Bangor University	United Kingdom	college
bankofcanada	Bank of Canada		company
banq	Bibliothèque et Archives nationales du Québec	Canada	public
banrepcultural	Biblioteca Luis Ángel Arango		public
banskbeautybrands	Bansk Beauty Brands		company
bapco	Bapco Energies		company
barnet	London Borough of Barnet	United Kingdom	public	burnt oak childs hill chipping colindale finchley edgware church end golders green hendon mill new osidge friern
barnsley	Barnsley Libraries	United Kingdom	public
barnsleycollege	Barnsley College	United Kingdom	college
barrielibrary	Barrie Public Library	Canada	public
barstowcc	Barstow Community College	USA	college
bartowlibrary	Bartow County Library System		public
bartshealthnhs	Barts Health NHS Trust		company
bauswooju	Buddhist Association of the United States		company
baycountylibrary	Bay County Library System		public	alice jack wirt auburn pinconning sage
bayerag	Bayer AG		company
bayfed	Bay Federal Credit Union		company
baysidelibrary	Bayside Libraries	Australia	public
baysidensw	Bayside Library NSW	Australia	public	amcliffe bexley brighton sands eastgardens mascot rockdale sans souci
bc	Boston College	USA	college
bchnhs	BCHC Birmingham Community Healthcare NHS Foundation Trust	United Kingdom	company	smallwood
bci	BCI (British Columbia Investment Management Corporation)	Canada	company
